t	v	myi_ch_HCNp	myi_ch_Kdrp	myi_ch_KvAproxp	myi_ch_Navp
6.025	-62.1907	-0.00102314	1.54441e-05	0.000154239	-3.50902e-07
6.05	-62.1777	-0.00102265	1.54587e-05	0.000154468	-3.52722e-07
6.075	-62.1647	-0.00102215	1.54735e-05	0.000154698	-3.54559e-07
6.1	-62.1515	-0.00102165	1.54885e-05	0.000154929	-3.56414e-07
6.125	-62.1381	-0.00102114	1.55037e-05	0.000155161	-3.58292e-07
6.15	-62.1246	-0.00102063	1.5519e-05	0.000155396	-3.60193e-07
6.175	-62.1109	-0.00102011	1.55346e-05	0.000155632	-3.62122e-07
6.2	-62.097	-0.00101958	1.55504e-05	0.000155871	-3.64081e-07
6.225	-62.0829	-0.00101905	1.55664e-05	0.000156113	-3.66073e-07
6.25	-62.0686	-0.00101851	1.55827e-05	0.000156357	-3.681e-07
6.275	-62.0541	-0.00101796	1.55992e-05	0.000156605	-3.70164e-07
6.3	-62.0393	-0.0010174	1.5616e-05	0.000156856	-3.72268e-07
6.325	-62.0243	-0.00101683	1.5633e-05	0.00015711	-3.74414e-07
6.35	-62.0091	-0.00101626	1.56503e-05	0.000157369	-3.76603e-07
6.375	-61.9937	-0.00101567	1.56678e-05	0.000157631	-3.78838e-07
6.4	-61.978	-0.00101508	1.56856e-05	0.000157897	-3.8112e-07
6.425	-61.962	-0.00101447	1.57037e-05	0.000158168	-3.83451e-07
6.45	-61.9458	-0.00101386	1.57221e-05	0.000158443	-3.85832e-07
6.475	-61.9293	-0.00101324	1.57408e-05	0.000158722	-3.88265e-07
6.5	-61.9126	-0.00101261	1.57598e-05	0.000159006	-3.90752e-07
6.525	-61.8955	-0.00101197	1.5779e-05	0.000159295	-3.93296e-07
6.55	-61.8781	-0.00101131	1.57987e-05	0.00015959	-3.959e-07
6.575	-61.8604	-0.00101064	1.58186e-05	0.00015989	-3.98566e-07
6.6	-61.8423	-0.00100997	1.58389e-05	0.000160195	-4.01298e-07
6.625	-61.8239	-0.00100928	1.58596e-05	0.000160507	-4.04099e-07
6.65	-61.8051	-0.00100857	1.58806e-05	0.000160825	-4.06971e-07
6.675	-61.786	-0.00100786	1.5902e-05	0.00016115	-4.09917e-07
6.7	-61.7664	-0.00100713	1.59238e-05	0.000161481	-4.12942e-07
6.725	-61.7465	-0.00100638	1.59461e-05	0.00016182	-4.16048e-07
6.75	-61.726	-0.00100562	1.59687e-05	0.000162166	-4.19242e-07
6.775	-61.7052	-0.00100484	1.59918e-05	0.00016252	-4.22528e-07
6.8	-61.6838	-0.00100405	1.60154e-05	0.000162882	-4.25909e-07
6.825	-61.6621	-0.00100324	1.60394e-05	0.000163253	-4.29389e-07
6.85	-61.6399	-0.00100242	1.60639e-05	0.000163632	-4.32972e-07
6.875	-61.6172	-0.00100158	1.60889e-05	0.00016402	-4.3666e-07
6.9	-61.5942	-0.00100072	1.61143e-05	0.000164417	-4.40456e-07
6.925	-61.5708	-0.00099985	1.61402e-05	0.000164822	-4.4436e-07
6.95	-61.547	-0.000998965	1.61665e-05	0.000165236	-4.48374e-07
6.975	-61.5228	-0.000998065	1.61933e-05	0.000165658	-4.52499e-07
7	-61.4983	-0.000997152	1.62205e-05	0.000166089	-4.56734e-07
7.025	-61.4734	-0.000996225	1.62482e-05	0.000166529	-4.61082e-07
7.05	-61.4482	-0.000995286	1.62764e-05	0.000166976	-4.6554e-07
7.075	-61.4228	-0.000994334	1.63049e-05	0.000167432	-4.70109e-07
7.1	-61.397	-0.000993371	1.63339e-05	0.000167895	-4.74788e-07
7.125	-61.371	-0.000992397	1.63633e-05	0.000168366	-4.79578e-07
7.15	-61.3447	-0.000991412	1.63932e-05	0.000168844	-4.84477e-07
7.175	-61.3182	-0.000990417	1.64234e-05	0.000169329	-4.89484e-07
7.2	-61.2915	-0.000989412	1.64541e-05	0.000169821	-4.94599e-07
7.225	-61.2645	-0.000988398	1.64852e-05	0.00017032	-4.99821e-07
7.25	-61.2374	-0.000987375	1.65166e-05	0.000170825	-5.0515e-07
7.275	-61.21	-0.000986343	1.65485e-05	0.000171336	-5.10586e-07
7.3	-61.1825	-0.000985302	1.65808e-05	0.000171854	-5.16129e-07
7.325	-61.1548	-0.000984253	1.66135e-05	0.000172377	-5.21778e-07
7.35	-61.1269	-0.000983196	1.66465e-05	0.000172906	-5.27534e-07
7.375	-61.0988	-0.000982132	1.668e-05	0.00017344	-5.33397e-07
7.4	-61.0706	-0.00098106	1.67138e-05	0.00017398	-5.39366e-07
7.425	-61.0422	-0.00097998	1.67481e-05	0.000174525	-5.45443e-07
7.45	-61.0137	-0.000978895	1.67827e-05	0.000175074	-5.51625e-07
7.475	-60.9851	-0.000977802	1.68177e-05	0.000175629	-5.57915e-07
7.5	-60.9563	-0.000976703	1.6853e-05	0.000176188	-5.64311e-07
7.525	-60.9274	-0.000975597	1.68888e-05	0.000176751	-5.70816e-07
7.55	-60.8983	-0.000974485	1.69249e-05	0.00017732	-5.77431e-07
7.575	-60.869	-0.000973364	1.69615e-05	0.000177893	-5.84159e-07
7.6	-60.8395	-0.000972235	1.69985e-05	0.00017847	-5.91006e-07
7.625	-60.8098	-0.000971097	1.70359e-05	0.000179053	-5.97975e-07
7.65	-60.7798	-0.00096995	1.70737e-05	0.000179642	-6.05074e-07
7.675	-60.7494	-0.000968791	1.71121e-05	0.000180236	-6.12308e-07
7.7	-60.7188	-0.000967621	1.7151e-05	0.000180837	-6.19688e-07
7.725	-60.6877	-0.000966437	1.71904e-05	0.000181444	-6.27223e-07
7.75	-60.6563	-0.00096524	1.72303e-05	0.000182059	-6.34923e-07
7.775	-60.6245	-0.000964028	1.72708e-05	0.000182682	-6.42798e-07
7.8	-60.5923	-0.000962802	1.73119e-05	0.000183312	-6.50857e-07
7.825	-60.5597	-0.000961561	1.73536e-05	0.000183951	-6.59109e-07
7.85	-60.5268	-0.000960306	1.73958e-05	0.000184599	-6.67561e-07
7.875	-60.4934	-0.000959036	1.74387e-05	0.000185256	-6.7622e-07
7.9	-60.4597	-0.000957752	1.74822e-05	0.000185922	-6.85092e-07
7.925	-60.4257	-0.000956455	1.75262e-05	0.000186597	-6.94182e-07
7.95	-60.3913	-0.000955144	1.75708e-05	0.000187281	-7.03494e-07
7.975	-60.3566	-0.000953821	1.76161e-05	0.000187974	-7.13032e-07
8	-60.3217	-0.000952485	1.76619e-05	0.000188676	-7.22798e-07
8.025	-60.2864	-0.000951138	1.77082e-05	0.000189387	-7.32795e-07
8.05	-60.2509	-0.00094978	1.77552e-05	0.000190106	-7.43024e-07
8.075	-60.2152	-0.000948412	1.78027e-05	0.000190834	-7.53487e-07
8.1	-60.1792	-0.000947034	1.78507e-05	0.00019157	-7.64183e-07
8.125	-60.143	-0.000945646	1.78993e-05	0.000192314	-7.75116e-07
8.15	-60.1066	-0.000944248	1.79485e-05	0.000193066	-7.86288e-07
8.175	-60.0699	-0.00094284	1.79982e-05	0.000193827	-7.97703e-07
8.2	-60.033	-0.000941423	1.80486e-05	0.000194595	-8.09366e-07
8.225	-59.9959	-0.000939996	1.80995e-05	0.000195371	-8.2128e-07
8.25	-59.9585	-0.00093856	1.81509e-05	0.000196155	-8.33448e-07
8.275	-59.921	-0.000937116	1.82029e-05	0.000196946	-8.45872e-07
8.3	-59.8834	-0.000935664	1.82555e-05	0.000197745	-8.58557e-07
8.325	-59.8455	-0.000934203	1.83087e-05	0.000198551	-8.71504e-07
8.35	-59.8075	-0.000932735	1.83624e-05	0.000199364	-8.84717e-07
8.375	-59.7693	-0.000931259	1.84166e-05	0.000200184	-8.98199e-07
8.4	-59.7309	-0.000929776	1.84714e-05	0.000201011	-9.11955e-07
8.425	-59.6924	-0.000928285	1.85268e-05	0.000201845	-9.25987e-07
